State,Season,Soil_Type,Crop,Rainfall_mm,Temperature_C,Humidity_pct,pH,Area_ha,N_kg_ha,P_kg_ha,K_kg_ha,Fertilizer,Irrigation,Yield_kg_ha
West Bengal,Rabi,Sandy,Mustard,219.1,20.2,85.4,7.05,9.53,57.7,75.2,37.4,Organic,Rain-fed,1474.6
Andhra Pradesh,Kharif,Loamy,Barley,200.0,13.8,79.8,6.1,4.47,76.9,71.8,13.6,Organic,Drip,2410.8
Rajasthan,Rabi,Clay,Cotton,1019.3,35.6,89.3,7.95,5.43,36.3,33.6,80.0,NPK,Sprinkler,588.3
Karnataka,Zaid,Alluvial,Mustard,505.0,17.6,81.5,5.56,5.75,55.0,54.0,43.7,Compost,Drip,1296.6
Madhya Pradesh,Zaid,Clay,Sugarcane,1840.1,34.9,60.3,8.3,16.64,139.7,58.6,61.0,NPK,Sprinkler,122071.6
Andhra Pradesh,Rabi,Alluvial,Rice,933.9,22.7,76.6,5.97,2.82,107.2,40.5,48.5,Urea,Rain-fed,3128.0
Uttar Pradesh,Rabi,Laterite,Cotton,769.0,22.4,78.7,8.41,9.03,111.6,67.2,48.3,Potash,Rain-fed,767.7
West Bengal,Kharif,Loamy,Maize,800.7,22.3,92.9,7.64,19.07,132.5,21.0,31.7,NPK,Flood,3241.0
Uttar Pradesh,Rabi,Clay,Sugarcane,1106.3,28.4,85.8,8.22,0.74,91.4,30.1,31.5,Potash,Drip,89780.7
Tamil Nadu,Rabi,Laterite,Rice,1928.5,27.6,53.6,6.57,2.14,108.1,15.0,24.4,Urea,Flood,3083.0
West Bengal,Rabi,Laterite,Groundnut,609.2,32.5,91.8,8.24,0.72,147.0,17.2,48.3,Compost,Drip,2894.6
Punjab,Zaid,Alluvial,Barley,568.9,17.9,68.6,5.72,12.31,116.2,54.1,48.5,DAP,Drip,3885.4
Uttar Pradesh,Zaid,Laterite,Soybean,641.0,24.3,75.7,6.3,0.79,52.6,57.3,59.5,NPK,Sprinkler,2070.7
Maharashtra,Kharif,Black,Barley,462.9,11.5,46.4,6.85,12.44,142.1,10.5,64.1,NPK,Sprinkler,3386.0
Madhya Pradesh,Zaid,Alluvial,Rice,916.9,29.6,92.7,6.7,16.88,107.4,78.4,17.1,DAP,Rain-fed,2159.6
Madhya Pradesh,Zaid,Sandy,Soybean,796.2,28.9,54.2,6.8,14.61,96.6,52.9,54.6,DAP,Flood,1406.2
Punjab,Kharif,Laterite,Rice,1800.2,22.7,40.9,5.73,18.27,75.2,25.1,51.8,NPK,Drip,4457.6
Maharashtra,Zaid,Red,Groundnut,819.2,33.3,55.6,7.86,8.25,52.9,79.1,30.4,Compost,Drip,2269.7
Andhra Pradesh,Kharif,Alluvial,Barley,366.8,20.1,76.7,7.86,9.36,52.3,59.4,39.9,Organic,Sprinkler,2562.1
Andhra Pradesh,Zaid,Clay,Sugarcane,2176.0,29.9,72.9,6.1,12.01,83.8,74.9,17.4,Organic,Flood,118192.2
Tamil Nadu,Kharif,Sandy,Rice,1916.4,23.5,50.2,7.49,17.69,109.1,17.7,30.2,Organic,Flood,2781.7
Rajasthan,Kharif,Sandy,Mustard,421.4,13.6,85.5,6.15,16.28,102.2,36.1,29.0,Organic,Rain-fed,1084.9
Madhya Pradesh,Rabi,Loamy,Soybean,932.0,25.0,83.7,8.15,7.22,77.1,52.7,21.2,NPK,Sprinkler,2174.2
Karnataka,Kharif,Alluvial,Cotton,660.7,23.9,79.5,7.7,10.54,30.9,11.3,21.6,Compost,Sprinkler,845.2
Karnataka,Zaid,Laterite,Maize,655.7,25.3,53.4,6.3,7.05,94.3,79.0,39.0,Compost,Rain-fed,5054.5
Rajasthan,Kharif,Clay,Rice,1495.0,31.1,51.2,6.48,11.16,22.9,76.2,58.8,Urea,Sprinkler,3537.5
Rajasthan,Kharif,Sandy,Mustard,476.8,12.9,77.3,7.82,19.05,99.5,70.0,57.1,Urea,Drip,1402.6
Andhra Pradesh,Kharif,Alluvial,Sugarcane,1332.9,34.0,69.5,8.01,16.52,36.6,30.0,47.2,Urea,Flood,88397.9
West Bengal,Rabi,Alluvial,Maize,509.4,23.7,89.6,6.11,1.81,70.6,47.9,77.8,Compost,Sprinkler,2004.3
Andhra Pradesh,Zaid,Sandy,Barley,690.9,14.3,52.7,8.33,1.34,29.1,61.0,52.6,NPK,Flood,3435.2
Haryana,Rabi,Loamy,Jowar,510.0,34.1,86.3,6.62,12.82,33.5,13.4,50.7,DAP,Drip,1768.6
Rajasthan,Kharif,Clay,Jowar,769.2,31.8,40.8,6.12,14.41,106.1,34.3,37.4,NPK,Flood,1314.5
Tamil Nadu,Rabi,Sandy,Sugarcane,1981.2,36.4,81.7,6.42,8.59,70.2,51.2,23.0,NPK,Sprinkler,96662.9
Punjab,Rabi,Laterite,Wheat,462.4,22.7,78.3,6.65,16.53,123.5,29.0,58.5,DAP,Sprinkler,3344.6
Rajasthan,Rabi,Sandy,Rice,1481.6,32.7,52.0,7.29,5.66,126.8,42.3,78.8,Organic,Flood,4658.7
West Bengal,Kharif,Laterite,Jowar,719.4,26.8,65.5,6.29,8.6,92.5,12.7,56.7,NPK,Flood,1660.3
Punjab,Rabi,Red,Mustard,466.7,11.3,78.9,8.4,16.62,141.4,66.1,57.2,Potash,Flood,697.1
Punjab,Zaid,Sandy,Maize,899.8,22.3,41.2,6.58,15.78,60.7,55.8,26.2,NPK,Sprinkler,1921.1
Rajasthan,Zaid,Red,Cotton,527.3,35.4,91.6,6.74,8.35,29.0,54.7,61.3,NPK,Drip,938.7
Haryana,Zaid,Red,Barley,314.4,16.4,74.0,7.4,9.65,84.2,70.3,42.3,Organic,Rain-fed,4174.6
Tamil Nadu,Kharif,Clay,Wheat,431.2,22.1,43.0,7.43,19.5,92.1,62.3,66.7,Compost,Sprinkler,3621.9
Punjab,Kharif,Clay,Mustard,482.1,16.4,92.2,5.68,13.87,42.3,41.8,41.8,Urea,Flood,1610.8
Punjab,Rabi,Sandy,Jowar,541.1,24.0,75.3,5.74,14.94,97.2,59.2,14.7,Potash,Rain-fed,1235.1
Karnataka,Kharif,Loamy,Rice,1567.5,33.5,93.7,7.55,7.82,46.1,25.1,58.4,Urea,Flood,3838.3
Tamil Nadu,Zaid,Clay,Sugarcane,1093.6,28.7,61.8,7.51,17.89,91.7,65.3,39.1,Organic,Flood,65366.3
Tamil Nadu,Zaid,Laterite,Cotton,538.7,37.1,94.2,6.0,2.73,40.2,24.5,54.1,Potash,Rain-fed,401.3
Haryana,Rabi,Clay,Cotton,647.4,34.9,87.6,5.96,2.11,59.3,49.4,66.3,DAP,Flood,405.3
Karnataka,Kharif,Red,Soybean,1068.3,23.0,64.3,8.45,8.22,74.4,42.1,60.8,DAP,Drip,2340.9
Punjab,Kharif,Clay,Jowar,488.3,29.0,91.7,5.55,10.69,105.3,49.2,58.1,Organic,Rain-fed,1984.1
Karnataka,Zaid,Clay,Barley,629.9,13.7,81.9,5.88,4.33,42.8,49.7,50.6,Urea,Drip,2952.3
Andhra Pradesh,Zaid,Red,Groundnut,866.2,32.4,71.4,6.06,5.93,43.8,67.8,30.0,Potash,Flood,2706.2
Uttar Pradesh,Rabi,Loamy,Mustard,423.5,15.2,60.2,5.76,11.36,63.9,79.2,11.8,Organic,Flood,1155.9
Haryana,Kharif,Black,Soybean,1051.0,26.2,74.5,7.75,3.46,65.7,16.6,44.0,Urea,Drip,3041.6
Karnataka,Kharif,Black,Groundnut,545.7,24.9,65.6,7.78,3.51,75.9,51.8,80.0,DAP,Sprinkler,2410.1
West Bengal,Zaid,Alluvial,Sugarcane,2144.3,24.6,73.8,8.23,10.44,101.4,29.5,69.7,Organic,Flood,112886.4
Punjab,Kharif,Alluvial,Rice,1775.6,31.8,46.1,7.32,5.98,69.4,66.1,37.4,Compost,Rain-fed,4484.3
West Bengal,Rabi,Clay,Jowar,706.4,29.4,60.1,6.45,15.11,31.4,29.8,39.3,NPK,Sprinkler,1510.2
Karnataka,Zaid,Red,Sugarcane,2442.2,33.4,73.6,7.54,6.69,143.1,71.9,61.7,DAP,Sprinkler,78260.5
Punjab,Rabi,Red,Maize,718.3,22.8,58.9,8.0,18.74,45.8,21.5,26.8,DAP,Rain-fed,5716.9
Haryana,Zaid,Clay,Mustard,336.6,16.3,53.6,6.91,13.41,118.0,50.5,73.3,DAP,Rain-fed,1904.0
Karnataka,Zaid,Laterite,Wheat,678.1,15.0,56.4,5.82,9.08,142.2,52.3,70.4,DAP,Sprinkler,6015.8
Rajasthan,Rabi,Loamy,Sugarcane,2102.4,31.4,47.5,7.7,12.83,91.1,73.2,34.1,Urea,Sprinkler,104063.0
West Bengal,Rabi,Red,Maize,896.6,27.2,70.8,8.33,2.11,121.4,16.9,15.3,NPK,Drip,3939.5
Punjab,Zaid,Black,Soybean,728.8,20.7,76.2,7.1,2.51,93.8,30.7,75.7,DAP,Drip,2861.4
Punjab,Zaid,Laterite,Wheat,275.2,10.7,52.0,8.47,11.7,109.5,72.8,62.2,Urea,Flood,2318.6
Punjab,Kharif,Clay,Maize,745.6,23.1,70.7,5.97,16.77,129.3,25.5,36.7,Compost,Drip,5812.1
Andhra Pradesh,Kharif,Laterite,Rice,1203.3,24.7,91.4,7.55,10.87,81.8,38.5,21.3,DAP,Flood,4678.4
Karnataka,Zaid,Loamy,Wheat,416.1,23.0,68.2,7.82,1.36,104.3,26.2,57.7,NPK,Drip,6248.7
Maharashtra,Kharif,Red,Rice,1889.2,34.5,69.2,7.11,5.92,92.3,12.0,73.5,Compost,Rain-fed,2379.8
Uttar Pradesh,Rabi,Clay,Jowar,400.9,33.4,57.5,8.41,5.62,135.2,75.4,74.1,Organic,Sprinkler,1760.9
Karnataka,Rabi,Sandy,Jowar,488.9,22.6,85.3,5.94,16.74,129.8,40.2,36.5,Compost,Rain-fed,2556.1
Tamil Nadu,Rabi,Alluvial,Jowar,806.5,28.3,71.5,6.48,1.27,20.8,78.5,77.6,NPK,Sprinkler,1676.7
Maharashtra,Rabi,Alluvial,Soybean,1092.3,24.4,83.1,6.3,19.81,98.5,56.2,58.2,NPK,Drip,1400.1
Tamil Nadu,Zaid,Sandy,Barley,299.0,8.9,67.3,8.25,15.64,93.5,41.0,65.8,DAP,Drip,3721.7
Rajasthan,Zaid,Black,Barley,226.2,10.2,52.9,7.99,18.99,56.4,29.4,12.5,Urea,Rain-fed,4062.1
Rajasthan,Rabi,Red,Rice,910.7,33.2,83.0,6.44,5.33,67.3,49.6,10.4,DAP,Rain-fed,2668.0
West Bengal,Kharif,Loamy,Mustard,561.7,15.2,85.8,7.92,4.87,31.4,16.3,23.5,Potash,Drip,897.1
Karnataka,Kharif,Black,Sugarcane,1125.3,27.0,87.9,7.78,14.69,88.9,21.3,50.0,Potash,Flood,108312.0
Andhra Pradesh,Rabi,Black,Cotton,1013.7,27.5,43.1,5.6,8.14,52.0,78.3,34.1,DAP,Drip,641.0
Andhra Pradesh,Zaid,Loamy,Cotton,585.5,23.8,83.5,5.92,11.14,25.9,55.9,47.5,DAP,Sprinkler,376.1
Uttar Pradesh,Kharif,Clay,Groundnut,458.6,24.4,67.9,7.41,19.71,73.5,39.9,33.1,DAP,Flood,1948.5
Karnataka,Kharif,Alluvial,Groundnut,867.2,31.6,82.9,5.55,16.46,84.0,23.7,55.6,Urea,Drip,2513.9
Uttar Pradesh,Zaid,Black,Cotton,572.0,24.0,77.2,7.28,12.26,20.2,36.5,20.0,DAP,Rain-fed,375.8
West Bengal,Kharif,Sandy,Jowar,715.4,25.0,75.9,6.25,13.18,35.9,59.1,17.9,Organic,Sprinkler,2801.0
Madhya Pradesh,Rabi,Black,Mustard,250.6,10.4,86.3,6.95,15.66,114.2,44.5,54.3,NPK,Rain-fed,1859.0
Maharashtra,Kharif,Laterite,Wheat,275.2,22.5,41.4,6.59,11.16,36.6,66.0,70.4,Organic,Sprinkler,2770.7
Maharashtra,Rabi,Sandy,Cotton,923.8,26.9,72.0,6.26,15.25,106.0,54.4,51.5,NPK,Drip,419.9
Karnataka,Rabi,Clay,Soybean,1010.8,29.0,47.4,5.78,16.71,61.4,72.6,55.1,Potash,Sprinkler,1397.6
Andhra Pradesh,Rabi,Red,Sugarcane,2068.2,29.0,69.7,8.05,19.17,86.9,16.0,48.4,NPK,Drip,89509.8
Punjab,Zaid,Clay,Sugarcane,1583.1,27.4,44.5,7.99,19.55,31.4,14.6,72.4,NPK,Drip,96691.8
West Bengal,Kharif,Loamy,Rice,1343.0,30.7,78.2,6.59,14.9,35.5,50.1,28.0,Organic,Flood,4340.1
Madhya Pradesh,Rabi,Sandy,Maize,850.0,28.2,56.9,6.98,16.03,49.4,48.6,46.6,NPK,Flood,3124.1
Uttar Pradesh,Zaid,Clay,Barley,243.0,8.8,69.9,6.2,12.94,25.4,44.9,58.3,NPK,Flood,2300.2
West Bengal,Zaid,Red,Soybean,991.8,21.5,47.5,8.18,1.96,44.7,59.1,49.0,Organic,Rain-fed,1452.4
Andhra Pradesh,Zaid,Laterite,Barley,616.6,12.2,91.2,7.53,6.49,91.6,65.3,32.3,Potash,Sprinkler,3072.7
Punjab,Rabi,Red,Barley,388.9,8.9,48.9,7.47,19.96,142.3,71.1,41.6,Compost,Sprinkler,3994.0
Karnataka,Rabi,Black,Jowar,336.9,32.6,47.4,6.09,4.02,88.3,17.8,70.8,Urea,Flood,1522.8
Andhra Pradesh,Rabi,Laterite,Sugarcane,2013.4,24.5,51.8,5.63,7.59,35.1,27.8,30.7,Organic,Flood,90933.3
Maharashtra,Kharif,Red,Barley,398.2,12.1,44.4,8.32,15.23,46.1,32.1,65.4,Urea,Rain-fed,4110.4
Punjab,Zaid,Clay,Cotton,1048.4,26.4,88.1,8.41,3.95,25.2,38.4,46.1,Compost,Rain-fed,687.2
Karnataka,Kharif,Loamy,Rice,1064.1,32.2,88.1,5.54,4.92,65.7,52.7,11.7,NPK,Sprinkler,2522.0
Andhra Pradesh,Kharif,Laterite,Wheat,549.7,22.6,89.8,8.01,4.34,45.9,28.5,45.2,NPK,Rain-fed,2123.2
Karnataka,Zaid,Loamy,Sugarcane,1621.2,37.4,74.4,7.21,4.1,122.4,29.8,68.6,Organic,Flood,85432.3
Uttar Pradesh,Zaid,Clay,Jowar,348.1,27.7,80.8,6.23,12.16,131.1,76.7,71.8,Potash,Flood,1315.4
Uttar Pradesh,Kharif,Clay,Maize,543.4,19.0,70.7,8.38,1.45,44.1,47.9,55.2,Compost,Sprinkler,1586.4
Madhya Pradesh,Kharif,Laterite,Mustard,318.6,11.1,83.8,7.77,13.77,27.7,58.4,61.0,Potash,Drip,877.8
Madhya Pradesh,Kharif,Clay,Barley,227.7,12.6,41.2,8.47,1.31,91.5,77.4,18.0,DAP,Rain-fed,2766.7
Haryana,Rabi,Clay,Sugarcane,1145.4,26.5,72.3,5.84,6.97,76.8,53.9,55.3,Potash,Flood,121353.1
Uttar Pradesh,Zaid,Alluvial,Soybean,1038.1,24.9,93.8,6.04,16.08,115.0,39.4,50.5,DAP,Rain-fed,2490.7
Uttar Pradesh,Rabi,Black,Cotton,1106.5,23.0,75.9,6.88,13.68,93.9,14.1,54.3,Compost,Flood,860.7
Andhra Pradesh,Zaid,Alluvial,Jowar,844.2,34.9,56.7,7.69,14.16,97.2,50.3,21.3,Compost,Drip,2001.1
West Bengal,Zaid,Red,Groundnut,557.5,25.1,59.5,7.84,11.5,110.3,49.7,65.7,Compost,Flood,2022.7
Punjab,Kharif,Laterite,Groundnut,558.7,34.8,50.1,6.46,8.6,51.5,16.4,32.3,NPK,Drip,1368.8
Haryana,Kharif,Red,Maize,622.1,24.6,59.9,5.88,5.45,55.8,44.6,18.5,Urea,Rain-fed,4575.7
Madhya Pradesh,Kharif,Red,Groundnut,614.8,32.5,58.0,5.99,4.03,76.7,51.6,51.3,DAP,Sprinkler,960.5
Rajasthan,Rabi,Black,Barley,240.8,9.2,79.3,7.24,0.78,98.6,37.1,70.4,Organic,Drip,2489.1
Maharashtra,Zaid,Sandy,Maize,890.2,27.9,76.5,7.54,18.67,113.6,30.1,71.6,DAP,Drip,2049.8
Rajasthan,Kharif,Sandy,Barley,268.8,8.0,51.5,6.75,7.45,25.2,45.9,57.6,Potash,Rain-fed,4264.5
Tamil Nadu,Zaid,Red,Sugarcane,2401.8,28.2,48.3,5.96,6.91,107.3,61.1,50.3,Urea,Drip,72629.3
Andhra Pradesh,Kharif,Red,Soybean,820.2,21.5,52.8,6.72,5.75,125.6,67.8,65.7,Compost,Rain-fed,1447.8
Punjab,Kharif,Red,Maize,1169.4,23.3,89.7,6.3,16.34,98.0,44.0,48.2,DAP,Rain-fed,6886.8
Andhra Pradesh,Rabi,Alluvial,Groundnut,828.6,32.7,92.0,7.55,6.97,103.9,45.7,18.4,Urea,Sprinkler,1423.1
West Bengal,Zaid,Clay,Maize,1166.7,22.6,92.0,6.44,17.24,111.7,61.9,57.4,Urea,Drip,3246.0
Punjab,Zaid,Red,Maize,618.2,18.8,52.0,5.76,4.29,108.0,54.5,38.1,NPK,Flood,4596.3
Uttar Pradesh,Rabi,Clay,Sugarcane,2471.9,37.1,76.9,7.59,7.58,114.3,17.9,38.5,Urea,Rain-fed,101204.8
West Bengal,Zaid,Clay,Soybean,809.9,28.6,53.7,8.33,6.32,149.4,73.8,25.5,Organic,Rain-fed,949.1
Madhya Pradesh,Rabi,Clay,Wheat,333.7,16.5,43.5,6.69,9.74,133.0,47.1,42.8,Organic,Sprinkler,3307.2
Punjab,Zaid,Black,Soybean,717.4,28.2,65.2,6.27,15.17,61.7,51.7,79.7,Organic,Flood,1678.4
Madhya Pradesh,Rabi,Black,Barley,485.4,14.7,40.0,8.25,16.96,41.8,18.4,14.7,Compost,Sprinkler,3412.7
Maharashtra,Kharif,Laterite,Rice,1155.0,31.2,59.2,6.62,12.62,34.4,12.5,79.6,Potash,Sprinkler,2790.6
Karnataka,Kharif,Red,Wheat,476.1,20.3,68.0,8.08,17.39,121.1,42.3,79.2,NPK,Sprinkler,3896.2
Punjab,Rabi,Black,Jowar,637.5,25.6,61.9,8.09,5.71,131.6,32.8,76.8,DAP,Sprinkler,1065.7
Andhra Pradesh,Zaid,Red,Soybean,933.3,22.9,89.8,6.98,6.94,143.9,14.2,30.8,DAP,Drip,1725.2
Uttar Pradesh,Zaid,Loamy,Groundnut,482.1,33.0,46.8,5.71,18.23,126.8,48.1,15.4,Organic,Drip,2744.8
Maharashtra,Rabi,Alluvial,Soybean,607.9,25.1,67.6,5.54,16.16,56.9,30.2,36.4,Potash,Drip,1661.3
Punjab,Kharif,Black,Groundnut,696.1,31.8,85.6,7.46,8.52,35.4,38.1,65.5,Urea,Sprinkler,1251.3
Madhya Pradesh,Kharif,Clay,Jowar,740.8,31.1,47.8,7.79,2.62,82.1,43.5,63.8,Compost,Flood,1881.1
Uttar Pradesh,Rabi,Clay,Wheat,475.1,17.4,74.4,7.92,1.85,60.8,54.5,34.9,Urea,Drip,2943.3
Rajasthan,Zaid,Clay,Rice,1368.6,34.6,75.4,7.3,14.07,112.6,23.5,43.0,Compost,Flood,3720.9
Karnataka,Rabi,Alluvial,Cotton,862.1,28.6,44.0,7.23,17.15,66.9,16.1,24.2,Urea,Drip,768.9
West Bengal,Kharif,Alluvial,Mustard,564.3,10.1,58.9,5.83,11.62,112.9,26.8,41.1,Compost,Rain-fed,990.7
Tamil Nadu,Kharif,Laterite,Jowar,620.7,24.5,58.0,6.62,15.32,85.3,50.8,50.5,Potash,Sprinkler,983.7
Madhya Pradesh,Rabi,Black,Sugarcane,2308.9,25.2,58.8,8.38,9.17,65.7,73.7,49.8,Organic,Flood,93073.6
Karnataka,Rabi,Alluvial,Rice,1243.4,31.4,60.0,7.88,18.85,90.8,12.9,62.1,Compost,Sprinkler,3616.0
Madhya Pradesh,Rabi,Clay,Groundnut,578.5,30.9,70.0,6.11,6.19,82.7,25.1,77.7,DAP,Drip,2286.6
Rajasthan,Kharif,Laterite,Wheat,463.6,16.7,78.9,6.26,9.21,46.8,10.1,12.7,DAP,Drip,7016.0
Karnataka,Rabi,Red,Wheat,326.6,20.2,87.1,6.75,6.53,87.0,44.8,22.5,Potash,Drip,2584.1
West Bengal,Zaid,Red,Cotton,1071.0,31.6,70.6,7.25,4.54,31.0,34.9,57.6,Organic,Flood,525.9
Andhra Pradesh,Kharif,Sandy,Sugarcane,1803.0,32.9,68.5,7.74,16.81,140.7,61.7,31.4,Compost,Rain-fed,71078.8
Haryana,Kharif,Loamy,Jowar,858.1,28.9,85.2,5.8,15.94,93.4,52.0,21.6,NPK,Drip,1834.5
Haryana,Rabi,Black,Sugarcane,1186.2,25.7,50.6,7.5,12.66,73.0,29.6,19.5,Potash,Drip,117115.3
Rajasthan,Kharif,Sandy,Sugarcane,2207.8,26.6,76.2,6.81,5.9,65.1,75.3,74.6,Organic,Rain-fed,94714.8
Karnataka,Rabi,Black,Soybean,1117.5,23.2,40.7,7.16,14.94,107.5,33.6,22.6,NPK,Sprinkler,1456.7
Madhya Pradesh,Rabi,Laterite,Groundnut,641.7,28.0,50.7,7.01,15.49,80.6,65.4,38.2,DAP,Sprinkler,1946.5
Punjab,Kharif,Black,Groundnut,618.9,33.8,42.2,6.85,11.76,63.2,32.1,17.5,Compost,Sprinkler,1507.6
Rajasthan,Rabi,Black,Jowar,542.5,34.9,87.6,7.3,14.17,102.0,41.9,43.7,Potash,Sprinkler,2087.0
Madhya Pradesh,Kharif,Black,Mustard,367.7,11.6,49.1,5.69,6.69,87.0,17.2,62.6,NPK,Sprinkler,1911.2
Tamil Nadu,Zaid,Black,Wheat,438.5,18.4,91.3,7.23,2.96,124.3,21.2,47.6,Compost,Rain-fed,2668.6
West Bengal,Zaid,Clay,Wheat,672.5,16.7,56.6,6.05,15.25,49.4,53.2,12.8,Urea,Rain-fed,3625.7
Maharashtra,Zaid,Clay,Rice,1983.1,24.7,41.2,5.6,9.19,135.1,16.1,47.7,Organic,Rain-fed,4991.4
Rajasthan,Kharif,Clay,Sugarcane,2465.4,26.6,77.2,6.59,18.79,63.2,59.1,63.6,Potash,Drip,130318.4
Tamil Nadu,Kharif,Clay,Jowar,319.5,25.1,61.3,6.35,6.44,103.6,60.2,78.4,Potash,Flood,1491.0
Madhya Pradesh,Zaid,Clay,Sugarcane,1271.0,37.3,55.1,7.28,10.04,116.5,26.0,14.1,Organic,Sprinkler,83581.2
West Bengal,Zaid,Alluvial,Jowar,521.6,30.6,71.7,7.52,0.82,123.4,15.4,29.8,Compost,Sprinkler,1805.7
West Bengal,Zaid,Clay,Mustard,464.5,10.5,68.3,8.07,9.6,89.7,60.2,41.0,DAP,Rain-fed,2067.2
Madhya Pradesh,Rabi,Black,Cotton,1029.8,33.0,66.4,5.71,11.22,133.6,25.4,21.1,Potash,Flood,344.5
Uttar Pradesh,Rabi,Sandy,Sugarcane,1436.3,30.6,73.8,6.03,10.51,146.5,24.1,10.7,Potash,Rain-fed,60737.2
Madhya Pradesh,Kharif,Black,Wheat,660.3,10.1,42.9,6.85,5.47,111.7,46.5,18.7,NPK,Rain-fed,6796.4
Maharashtra,Kharif,Alluvial,Rice,924.0,32.1,91.5,6.87,6.16,34.6,52.7,49.8,DAP,Drip,5862.6
Madhya Pradesh,Kharif,Loamy,Cotton,833.9,28.2,83.2,6.96,18.93,26.6,48.3,72.3,Compost,Flood,453.9
Uttar Pradesh,Rabi,Alluvial,Barley,339.5,13.7,71.8,5.75,3.51,28.3,15.2,18.1,Organic,Sprinkler,3615.9
Tamil Nadu,Kharif,Red,Mustard,586.6,23.2,59.1,7.88,12.69,108.4,49.9,52.7,NPK,Flood,2279.6
Andhra Pradesh,Zaid,Sandy,Maize,1013.2,31.9,53.0,8.15,2.39,36.8,14.0,69.2,Potash,Sprinkler,1886.4
Rajasthan,Kharif,Black,Cotton,880.7,33.1,76.7,5.9,17.11,21.8,72.7,12.0,NPK,Flood,501.7
Maharashtra,Kharif,Laterite,Maize,903.5,22.8,50.3,7.75,5.1,44.1,22.7,45.9,NPK,Flood,5958.6
West Bengal,Rabi,Black,Wheat,577.2,22.2,90.9,7.48,8.08,54.1,50.7,60.3,Potash,Sprinkler,2698.5
Haryana,Zaid,Laterite,Cotton,1086.2,27.2,49.5,6.3,2.83,33.8,67.5,19.7,Organic,Sprinkler,915.3
Karnataka,Rabi,Loamy,Jowar,492.4,24.5,82.9,7.07,13.0,72.7,10.2,69.5,Urea,Rain-fed,1500.9
Haryana,Zaid,Loamy,Wheat,548.1,20.4,41.7,8.03,9.48,37.4,76.7,15.1,NPK,Flood,2912.3
Rajasthan,Zaid,Laterite,Rice,1582.3,29.1,79.3,6.31,15.33,48.3,35.7,37.4,DAP,Drip,5793.7
Andhra Pradesh,Kharif,Loamy,Barley,588.9,20.0,50.1,6.2,12.89,121.1,25.8,22.3,DAP,Drip,4368.3
Rajasthan,Kharif,Red,Soybean,782.5,28.1,78.1,8.46,4.89,99.3,74.1,20.9,Organic,Drip,2200.8
Karnataka,Kharif,Loamy,Maize,682.5,25.3,71.3,7.4,10.62,84.0,31.7,22.7,NPK,Drip,5060.2
Karnataka,Zaid,Laterite,Barley,226.4,14.2,91.0,8.1,14.3,120.9,66.6,63.7,NPK,Sprinkler,2027.5
Tamil Nadu,Zaid,Black,Sugarcane,2147.2,27.7,85.3,5.76,17.39,58.5,28.6,40.2,NPK,Flood,132413.8
Haryana,Rabi,Red,Groundnut,481.7,23.5,69.1,6.9,2.58,36.8,62.0,55.0,Potash,Drip,1444.5
Tamil Nadu,Zaid,Loamy,Groundnut,467.8,25.6,85.2,8.41,9.35,141.2,70.1,21.9,NPK,Drip,1883.7
Punjab,Rabi,Red,Maize,1052.4,26.4,78.3,7.68,16.81,22.8,16.4,57.7,Compost,Sprinkler,6578.7
Uttar Pradesh,Zaid,Laterite,Groundnut,783.9,32.5,59.9,7.98,14.18,131.6,42.5,64.9,DAP,Drip,3167.5
Andhra Pradesh,Kharif,Alluvial,Wheat,405.8,17.4,94.0,7.49,16.43,110.9,31.5,14.0,Organic,Drip,3565.5
West Bengal,Zaid,Sandy,Sugarcane,1209.5,34.0,67.2,8.11,14.87,94.5,19.6,75.6,DAP,Sprinkler,85898.1
West Bengal,Zaid,Sandy,Rice,1505.6,24.5,74.7,5.57,14.55,76.9,34.0,48.3,DAP,Sprinkler,2314.0
Karnataka,Zaid,Loamy,Cotton,631.8,24.9,61.8,5.87,10.75,126.5,32.9,34.5,Compost,Flood,742.4
West Bengal,Zaid,Alluvial,Mustard,586.6,16.2,77.8,8.18,13.94,110.2,31.4,63.1,Urea,Flood,1507.5
Rajasthan,Rabi,Sandy,Barley,252.8,19.4,82.7,5.71,13.38,107.5,44.8,76.5,DAP,Rain-fed,2330.4
Madhya Pradesh,Zaid,Laterite,Rice,1245.6,34.5,83.4,7.82,4.75,138.9,24.8,20.1,Potash,Drip,5099.4
Madhya Pradesh,Rabi,Clay,Rice,1178.7,33.6,72.7,7.76,6.53,72.7,78.9,30.5,NPK,Drip,3422.4
Uttar Pradesh,Zaid,Clay,Jowar,333.3,32.8,88.3,6.09,18.97,99.8,25.6,48.2,DAP,Drip,2459.7
Madhya Pradesh,Zaid,Laterite,Mustard,228.4,21.5,45.8,6.77,16.01,78.8,61.4,68.8,NPK,Sprinkler,1487.2
Madhya Pradesh,Rabi,Black,Cotton,1146.6,35.1,69.6,7.53,13.81,42.4,40.2,45.7,Organic,Sprinkler,366.2
Punjab,Zaid,Red,Wheat,595.9,19.4,52.4,5.9,17.8,49.1,70.0,67.2,DAP,Flood,3685.3
Punjab,Rabi,Sandy,Groundnut,508.9,23.1,91.5,8.32,3.91,115.9,27.7,14.7,Organic,Sprinkler,1270.2
